UserID,Age,MonthlySpend,PreferredPayment,SubscriptionType,LastLogin,SessionDurationMinutes
10129,58,2184.4060412978215,Card,,2023-03-19,50.08150581918547
10035,,9032.775089466806,Wallet,Premium,2023-03-13,43.08060565035954
10185,47,393.9494105408432,UPI,Free,2023-03-19,54.14725259923914
10168,40,4207.575735526723,,Basic,2023-06-25,8.670946098652443
10201,27,4245.586999124711,UPI,Free,2023-09-29,58.088000329213926
10232,-5,2615.0677278902513,,,2023-08-29,66.80341905268597
10210,60,1892.1626289055148,,Premium,2023-08-29,52.44795271705508
10068,27,2442.003247504131,UPI,Basic,2023-06-01,54.90408019442225
10197,35,153.85168841681002,Card,Free,2023-02-17,44.55317350839713
10436,18,4264.260809208303,Card,Basic,2023-08-24,87.33595093459
10385,58,1742.0585409342018,Card,Basic,2023-08-02,39.22945250922129
10407,,3294.218744563525,UPI,Free,2023-07-15,38.223322773367705
10254,55,19767.3232340948,Card,,2023-07-31,38.41082768355751
10291,34,332.481671113865,,Premium,2023-07-05,32.915671849055244
10055,64,475.339888317943,,,2023-10-29,69.16055523847946
10497,38,2486.799400730023,UPI,Free,2023-01-16,69.16055523847946
10449,22,1551.0430248715177,UPI,Basic,2023-08-18,34.80144389845343
10176,28,5972.99306628357,,Premium,2023-03-19,38.585821695738034
10221,44,1055.482894903561,Card,Free,2023-10-20,27.117686615449355
10059,59,8817.372837242725,,Free,2023-01-02,52.1417824577067
10486,58,5217.314792920736,Wallet,Basic,2023-01-25,52.20902653713999
10363,32,1129.8891727468058,,,2023-09-22,53.502705390259464
10244,150,5972.99306628357,Card,,2023-07-20,46.22801771202887
10215,150,3001.5426708518244,Card,Premium,2023-02-19,60.02659868620377
10130,19,7716.796839680481,,,2023-10-19,43.06504883848974
10192,63,5417.987923730793,UPI,Basic,2023-10-11,42.553013468713466
10140,29,434.038208156711,UPI,Free,2023-04-11,40.969665829749545
10424,38,586.1342914795847,,,2023-04-30,63.355829617314214
10456,22,1912.56926190968,UPI,Free,2023-07-29,62.517999208652036
10020,37,4364.377581137292,Wallet,Free,2023-07-30,26.554791756890822
10059,45,789.6395080533052,Wallet,,2023-01-31,27.830157925491545
10295,43,908.4477294584376,,,2023-05-05,29.202115428220168
10079,39,9062.640975808794,UPI,Basic,2023-09-20,33.29773229313801
