EmployeeID,Age,Department,Salary
1102,25,IT,28331.638347128042
1435,53,Finance,39359.31938663209
1860,,IT,45369.182700822385
1270,38,Finance,61427.05667130175
1106,52,,53472.691089433574
1071,31,Finance,70341.17220210063
1700,41,,37155.40145835276
1020,46,HR,40765.569882536525
1614,45,HR,47252.12981424317
1121,42,HR,28048.910623599673
1466,47,Finance,52423.44520159983
1214,33,HR,71439.86394069283
1330,53,IT,34039.48647198354
1458,54,,74324.00149649482
1087,55,,59992.49098207493
1372,,IT,54330.9859207994
1099,41,Finance,40887.10486480286
1871,26,Finance,59153.66563407119
1663,48,,73477.57898793316
1130,37,HR,69972.18211096693
1661,25,Finance,30288.990371989403
1308,51,Finance,36468.70601222387
1769,25,IT,44171.388451413106
1343,58,IT,39630.23943474835
1491,23,HR,67017.20780126478
1413,43,Finance,41585.9717866438
1805,57,Finance,64440.033793782975
1385,57,IT,61935.54712549613
1191,30,Finance,52366.261715445726
1955,30,,33731.99310061923
1276,39,IT,62745.75134606917
1160,37,HR,53472.691089433574
1459,41,IT,64512.31623857958
1313,34,Finance,72403.74153963305
1021,29,HR,23324.735491019288
1252,,IT,38414.453235285495
1747,33,,53544.88854091663
1856,24,,58434.749309348874
1560,,IT,59900.15889675677
1474,52,,62439.87235892239
1058,54,,72171.90239259892
1510,48,,47537.308825692424
1681,51,HR,53176.24577121691
1475,28,,43052.527002928015
1699,59,,65933.51495524404
1975,46,,62196.10447444248
1782,54,HR,43637.01466957833
1189,23,IT,54468.81597889704
1957,32,Finance,66307.92776592956
1686,,,66066.86860676977
1957,25,IT,56835.34503000877
1562,50,,28202.522806185836
1875,50,HR,66254.09119745278
1566,37,IT,47320.85038178983
1243,43,HR,75876.75998387858
1831,35,,56575.73870192605
1504,57,,10528.521748701409
1130,41,HR,61607.49115463419
1484,34,Finance,48534.15420393622
1818,22,HR,40786.45072176954
1646,31,,45388.6483310261
1020,59,HR,30184.90256202245
1840,58,Finance,51291.09297490513
1166,54,HR,73167.8900551714
1273,58,Finance,53176.24577121691
1387,54,Finance,51443.911646050736
1600,38,HR,70777.23387818485
1315,50,HR,46067.394457042385
1013,35,IT,56125.17746592167
1241,47,,37877.87218389096
1776,54,Finance,49439.64738137092
1345,58,IT,53615.72715662247
1564,53,HR,34756.26238312626
1897,44,,39553.703106160945
1339,35,IT,54865.99957681866
1091,50,Finance,45369.182700822385
1366,37,IT,53615.72715662247
1955,25,Finance,38083.60919796979
1454,49,HR,47472.40053597697
1427,24,,45236.40201764393
1508,30,,39450.9271615479
1775,37,,82862.37739809128
1942,30,HR,40165.4543052972
1034,37,Finance,67254.4403945209
1205,40,HR,44631.33364428257
1080,44,,55510.830359459454
1931,25,HR,61371.59297776208
1561,54,HR,81663.0895553642
1871,26,HR,34427.46279369599
1387,22,Finance,36449.847705545035
1001,33,IT,44325.57088608182
1389,31,IT,26526.299461710958
1565,43,HR,68783.19364639727
1105,36,IT,69754.38255030056
1771,51,IT,37012.00344306411
1821,31,HR,42988.48484262545
1476,36,HR,51849.9361158581
1702,28,,52274.282410409454
1401,24,IT,53472.691089433574
1729,24,Finance,65980.21439812446
1555,45,HR,33147.25692633756
1161,23,,60408.17667470981
1201,52,Finance,72240.72191258622
1957,23,IT,41415.544208239015
1995,47,,54468.81597889704
1269,49,HR,49364.965127026444
1862,52,Finance,61411.54462939031
1815,39,HR,29349.054462445554
1270,41,IT,52036.30819876498
1455,25,Finance,34651.58350785053
1461,38,IT,64746.2405780885
1726,48,IT,41179.421323116876
1251,42,,54696.78244620896
1701,41,HR,37360.70117914655
1295,26,Finance,41093.07016615513
1724,,IT,49265.52216466664
1719,25,IT,44614.661542163216
1748,32,Finance,39557.71461555318
1337,46,IT,41560.79775757016
1878,54,,56432.18471931046
1052,34,,65045.76964491776
1791,46,,50934.73468145805
1921,47,,62196.10447444248
1216,29,IT,61427.05667130175
1763,46,Finance,34205.5238239954
1187,42,Finance,48875.52573741428
1379,50,Finance,60408.17667470981
1492,37,Finance,34651.58350785053
1040,46,HR,42300.33157514945
1156,56,Finance,40002.192780897276
1014,,HR,50433.13584723516
1812,28,HR,43036.68353850161
1064,55,,60298.49009227344
1856,35,HR,69603.11143812911
1838,42,IT,45693.39961204626
1520,34,HR,35689.073783805165
1343,46,,30683.368320526435
1128,48,HR,48152.32677784926
1647,43,IT,55508.4844913332
1471,34,IT,59352.83154426138
1062,44,IT,18050.346866255793
1138,22,,60982.10845227674
1498,46,,45886.57464418204
1592,34,Finance,81641.66891963688
1391,27,,45128.39790081237
1674,23,IT,41979.26588284032
1418,43,IT,54551.67126386068
1288,38,,61168.760407995185
1378,58,HR,52541.627462895296
1772,55,,36683.629921831474
1489,35,,9288.390492633705
1230,45,IT,28719.3719367879
1040,57,Finance,48903.965473893906
1027,48,IT,55173.45512374879
1134,30,Finance,46401.51624379759
1200,59,IT,73525.08914045186
1839,37,,75304.81794538087
1779,59,IT,45596.9173676365
1929,42,IT,64038.22334407574
1032,46,IT,58046.25098592564
1047,45,,44171.388451413106
1502,37,,38269.642023388406
1406,33,,47219.94315776363
1573,40,,40006.419136126584
1727,45,Finance,53544.88854091663
1804,24,Finance,31813.140817261585
1098,30,HR,67135.77715961188
1683,23,,53414.79923946956
1871,38,Finance,51443.911646050736
1725,56,IT,52845.67593088288
1986,42,,55823.63971678016
1546,54,HR,37259.19627266142
1960,28,HR,58970.86544679363
1738,39,HR,48731.55501284288
1612,57,IT,28341.6563380413
1942,26,Finance,61607.49115463419
1461,46,IT,9288.390492633705
1642,54,,44559.26465630105
1768,26,HR,35695.930804704534
1004,57,IT,29322.059749351294
1217,53,IT,41084.50441480691
1502,42,Finance,57980.452899386786
1766,41,Finance,61595.20043380717
1397,26,HR,90102.66455594718
1870,26,IT,48523.415207665515
1794,24,IT,57043.38754029391
1392,50,Finance,73167.8900551714
1206,31,IT,40165.4543052972
1014,50,IT,64133.57227246043
1857,51,IT,61542.97203576498
1553,44,Finance,70067.46531449175
1891,29,HR,47737.46569090166
1460,23,,39515.74340804598
1690,51,HR,82992.89946742001
1574,57,,42093.17921877325
1863,56,IT,24313.408136535294
1742,44,HR,40711.45302530838
1240,51,,44357.35095827467
1563,26,Finance,44456.46720719329
1095,22,Finance,70856.41211609573
1899,40,HR,63524.163718526106
1733,48,HR,1000000.0
1484,31,IT,29931.89763184651
1406,24,HR,11102.807234873864
1230,35,IT,46067.394457042385
1748,26,IT,22395.06445648742
1654,50,Finance,37335.81472215506
1170,58,Finance,66013.98951218736
1540,22,,71850.64925092692
1035,35,Finance,37949.54305909594
1524,31,Finance,29283.353661278798
1159,28,HR,49193.832365463124
1838,46,Finance,34771.79895282177
1698,25,,36393.104806171235
1242,26,HR,48400.23062845407
1085,46,,43637.01466957833
1795,24,Finance,69603.11143812911
1577,39,,37460.68880628956
1681,40,HR,32163.907012942287
1556,53,IT,25640.641868584382
1573,40,,48456.844338625095
1952,32,,41934.65453858206
1645,,HR,35927.33936858442
1795,46,HR,35876.157239740314
1027,34,,47772.08671457551
1619,58,Finance,40581.75178337316
1555,57,,51443.911646050736
1339,31,HR,54579.79669320599
1797,56,IT,37099.7995763219
1957,33,IT,54675.527031968275
1330,23,Finance,70232.44130658725
1639,53,,69104.6049822747
1505,26,IT,42452.821221476275
1347,30,,41739.6264270453
1472,25,HR,54375.95565880112
1230,43,IT,53288.475016324606
1189,30,Finance,69060.49377638286
1224,22,HR,57757.95251808521
1384,33,Finance,57349.108742001095
1376,22,HR,23086.1415423491
1282,40,IT,37099.08717315387
1957,,Finance,43564.22109728224
1632,57,Finance,52807.46030729243
1627,29,HR,52440.04998496298
1972,37,Finance,66145.5799286177
1744,29,HR,55848.30229208593
1258,31,HR,46794.31772006178
1358,35,HR,47948.250875458565
1709,44,HR,14124.175134308098
1455,58,IT,53028.49339442676
1410,55,HR,23883.960349060264
1648,50,,73941.19603299724
