TransactionID,Date,ProductCategory,ProductName,Quantity,UnitPrice,Discount(%),TotalAmount,Profit,PaymentMode,CustomerType,StoreLocation
100000,2023-04-13,Snacks,Nuts,4,302.11,0,1208.44,192.74,Cash,New,Semi-Urban
100001,2023-12-15,Household,Tissue,6,372.39,15,1899.19,302.48,Cash,Regular,Semi-Urban
100002,2023-09-28,Snacks,Chocolate,12,113.38,0,1360.56,333.49,UPI,New,Urban
100003,2023-04-17,Dairy,Milk,9,422.39,0,3801.51,554.89,Card,Regular,Rural
100004,2023-03-13,Beverages,Juice,15,24.87,0,373.05,37.37,Card,New,Rural
100005,2023-07-08,Snacks,Chips,16,423.47,0,6775.52,1646.77,UPI,Member,Semi-Urban
100006,2023-01-21,Vegetables,Potato,12,235.56,5,2685.38,360.48,UPI,New,Semi-Urban
100007,2023-04-13,Household,Detergent,14,116.62,0,1632.68,197.39,Cash,New,Semi-Urban
100008,2023-05-02,Vegetables,Carrot,13,75.55,0,982.15,144.87,Card,Regular,Semi-Urban
100009,2023-08-03,Fruits,Apple,2,477.12,5,906.53,159.53,UPI,New,Urban
100010,2023-11-27,Beverages,Tea,3,45.61,0,136.83,26.71,Card,New,Urban
100011,2023-03-29,Snacks,Nuts,10,107.56,10,968.04,105.43,Cash,Regular,Urban
100012,2023-04-10,Vegetables,Onion,9,180.43,5,1542.68,453.72,UPI,Member,Urban
100013,2023-12-26,Beverages,Coffee,8,313.92,0,2511.36,610.79,Card,Member,Semi-Urban
100014,2023-06-01,Fruits,Banana,10,276.95,5,2631.02,433.17,Card,Member,Urban
100015,2023-05-11,Dairy,Yogurt,19,71.57,0,1359.83,222.66,Cash,New,Urban
100016,2023-05-30,Household,Detergent,3,151.97,5,433.11,82.17,UPI,Regular,Urban
100017,2023-11-05,Beverages,Coffee,5,126.99,0,634.95,143.02,Card,Member,Semi-Urban
100018,2023-09-15,Beverages,Juice,3,114.64,0,343.92,44.46,Cash,Member,Rural
100019,2023-12-10,Dairy,Butter,16,211.46,5,3214.19,442.87,Card,Member,Semi-Urban
100020,2023-10-21,Beverages,Juice,17,354.98,15,5129.46,1394.63,Cash,Member,Rural
