CustomerID,TransactionAmount,PaymentMode
353,3450.6271361454365,Cash
220,,UPI
9,4217.379194171599,UPI
12,1110.8553295219717,
325,1782.4676606686403,
438,,UPI
244,12422.321236775499,
182,1036.9886428163331,UPI
284,1047.8948201347498,Cash
312,,Card
99,2494.4296096347566,
197,872.3516112263037,Card
482,,UPI
366,926.4538690734329,UPI
226,6784.782407180005,UPI
333,327.68751328229325,Card
103,3206.2521711573527,UPI
106,7125.000246700516,
365,554.4720342034468,Cash
368,10356.868308828783,Cash
58,1809.2797926579956,
78,8740.527992773263,Cash
75,,Card
42,1076.8334230135977,UPI
422,,UPI
324,1086.075031131514,UPI
181,292.89607016138746,Card
33,465.9920094267115,Card
71,331.6567091967891,Card
56,1649.4455183753737,
105,4762.711904834099,Card
200,457.2989075688844,Cash
101,418.8913475068666,
256,3093.665276681317,
307,658.8853918167856,
74,308.12556627361465,Card
171,547.6196234106525,
377,,Card
143,5169.016925569621,Card
166,1311.1671657605825,
399,3199.7781962525337,UPI
261,2311.87142913509,UPI
221,3391.4632393386205,
83,3443.4500066125534,UPI
182,2972.509598144091,Cash
307,,Cash
10,,Card
396,,UPI
4,6648.503506369648,Cash
351,2528.4047610037164,
402,5358.364925689909,UPI
336,14347.277255872696,Cash
488,536.0030558584602,Cash
292,3530.80141695596,
281,3365.276508482607,Card
215,,
460,12721.734127930835,Card
98,3481.5774469100893,Cash
420,837.613494468294,Card
101,,Cash
451,339.6039712025859,Cash
9,4551.9343518340165,UPI
61,7230.3814308995725,Card
309,,Card
146,,Card
427,1687.108070094211,
419,1727.506394475396,UPI
63,1114.8040390598615,UPI
121,,UPI
226,,
105,8478.012002758484,Card
462,576.3204556205916,Card
260,,Card
349,,UPI
425,874.4173433318867,UPI
255,208.96552810574534,Cash
429,935.913093789855,
434,7298.362787229636,
207,3008.6412061673955,UPI
28,3830.2183006551772,Cash
170,891.792911666305,Card
336,3812.3487034152727,UPI
76,85.57346638327753,
116,1411.55374411397,
69,2956.547441746262,
354,473.8114979739475,Card
234,5194.877223683017,
1,803.7610784166379,Card
167,3169.0827633165836,Card
352,1558.5757811954381,Card
218,,UPI
273,341.02009093840434,Card
368,51.17236395879541,Cash
251,7209.352759666459,
347,942.6121077993456,UPI
344,5139.01682147632,
419,22017.001700626,Card
174,712.60708696437,UPI
170,924.3513230552287,Cash
246,3261.769124182972,Card
423,10095.924630091236,
90,7424.192334961384,Cash
49,2096.7444648040255,Card
446,4755.850224429098,Cash
294,437.66520578222764,Card
407,11374.489104541242,UPI
150,10002.290557601282,Card
132,536.4075161398229,UPI
433,,Card
59,316.5982498237867,Card
457,951.1991772092368,
324,5077.7378259515735,Cash
199,1425.9681661066898,Cash
215,,Cash
386,1256.6794476949478,Card
49,11951.094272717039,Card
472,2980.19247247937,Card
232,1614.389781893739,UPI
247,546.5033544425867,UPI
382,12844.220227386071,
479,5158.578915113588,Card
239,991.673951326215,Cash
415,217.93368578988074,Cash
367,,
168,384.7895376335415,Cash
48,2607.9966153466607,
51,7925.24653611961,Card
299,2059.9654663309484,Cash
98,5553.486865222999,Card
439,1771.1578676446034,UPI
216,3699.0057620360685,Cash
177,3948.8806509322753,UPI
380,573.3497005264154,Cash
474,1344.5670067294311,Card
80,3042.5555355027946,
185,219.96004369413706,Card
367,1346.0896391632568,Card
461,2295.860133148085,Card
399,,Cash
27,1930.406876048342,
452,,UPI
464,1697.2569807066243,Card
448,4774.657285929179,Cash
478,2714.6788147785555,UPI
492,6530.38107031461,Card
414,1587.6946976290874,UPI
420,2781.330300840986,Card
195,2982.9082883322894,UPI
214,1620.675466347729,UPI
369,467.54851895475446,
342,294.6893559337339,
114,50.436255120620025,Card
242,6203.3516133098,Cash
124,809.4278879246267,
305,712.8942967884469,UPI
76,3995.820832050007,
311,,
469,,Card
312,532.0416829970067,
196,9637.616945056207,
351,5723.155857875369,UPI
44,5980.664095454244,
415,1566.5382473192024,UPI
186,4311.010388528969,
343,,
246,25.969083033161816,Cash
437,,
84,2650.031503390718,UPI
207,,UPI
151,2189.5290289413647,Card
156,22.47338697517141,Card
16,1648.1101191979446,Cash
165,3798.269830937253,UPI
405,1753.9208504908302,UPI
463,3952.75970148792,UPI
145,795.8796100204835,Cash
498,5032.218998578571,UPI
37,2663.337533806436,Card
333,710.0662469866793,Cash
403,810.3928979148009,Card
414,2966.829966199858,Card
45,5314.804713010845,Cash
402,1611.6514189263605,
206,896.4330264383685,
62,6052.480273719438,Card
420,3319.3433441213588,
356,,UPI
468,2007.7072255323387,Cash
308,,Card
19,2956.9435721016957,UPI
365,1332.972609300244,
300,16309.413712990328,UPI
7,1962.8383309818655,
249,1995.9284467126795,Card
428,2503.1078985563668,UPI
117,7457.937786768289,Cash
68,4840.610402128978,Card
34,,UPI
194,,UPI
325,2647.374913923061,
55,2033.9898881179938,Card
266,640.7523142433264,Card
480,,Card
42,846.3670174442618,Card
297,,
461,1225.7405254199878,Cash
231,,Card
453,,
378,2995.305015615769,Cash
394,2348.824734523623,Cash
10,,
358,1413.955330944582,Card
475,313.2366039422113,Cash
444,2926.164600736053,Card
128,1776.5094246484362,Card
179,4515.030611324078,UPI
405,,Card
392,539.4119958595004,UPI
193,1564.3062824378032,Cash
92,7834.896673418986,
369,,UPI
231,1628.619228072711,
78,2184.9068478318504,Cash
85,263.91445891182315,Card
30,12515.471468348554,Cash
213,,
49,1008.1140802582651,Cash
265,2644.2797889535905,Card
145,347.8571225032061,Cash
69,10129.80719242162,Card
58,576.3339175671248,UPI
185,3132.630713796571,
62,844.9189443229795,Card
479,3792.882107150394,Card
308,4499.34835326236,Cash
445,3357.2385216753914,UPI
296,2859.6380575905027,Card
166,6689.930923839789,UPI
171,,UPI
63,,Cash
147,856.203944596946,Card
484,13272.038436131676,Cash
306,1479.8893819222678,
161,,
141,3462.931574831084,Card
334,715.0808630524051,UPI
97,819.3566183485563,Card
446,990.8693293454243,Card
221,1588.635632409012,
43,800.9927010029378,
433,59.54142206601249,UPI
292,6345.655272799863,UPI
378,10109.953654218492,Card
108,1253.6929603835072,Cash
266,1239.7670856521067,Card
95,21.351237617953608,UPI
262,,Cash
313,5236.458479021527,
385,475.6099035001647,UPI
71,521.8687886241469,UPI
442,,Cash
219,2873.610511064776,UPI
21,137.693808614972,UPI
92,2922.9275882606157,UPI
127,,UPI
80,1380.0418244913396,UPI
312,4405.526714427888,UPI
238,,UPI
471,1534.2605356351326,UPI
372,8821.059365347373,
404,,UPI
486,4433.0722942801585,
182,1984.2320472391161,
25,,Card
156,7150.124657629567,Card
5,274.42808467447895,
120,8269.83107958291,
277,5238.090666446346,UPI
18,4700.72641368646,Card
431,672.8501258211085,Cash
198,4906.101702905694,Card
57,,
93,1023.8829371983555,
19,9125.961898537027,UPI
384,153.43827271753645,UPI
353,487.23652293178395,Card
193,,UPI
237,,Cash
387,3108.181046282384,Cash
426,51.34426429798314,UPI
277,9684.262463437452,Cash
227,136.83814494865368,Cash
233,463.16895966928587,Card
40,42.34094443546302,Cash
323,2510.0719815618295,
153,,
127,3289.368339382783,Card
237,5189.016630547507,UPI
486,40.11056218591406,Card
493,2342.7584946599986,UPI
55,1846.1314974465638,UPI
468,2073.2555890587105,UPI
436,224.8598944908294,UPI
172,3460.1752207009527,UPI
109,2098.8265257534404,Card
354,,UPI
469,1992.4586268027879,Cash
184,485.3751215867729,Cash
439,3134.5630593813703,UPI
368,567.6265631947414,Cash
471,6176.43690612573,
198,2848.892971263915,Card
371,513.0906149552005,Card
373,9837.315529976047,UPI
461,2191.709025645389,UPI
497,227.076523528098,
87,2957.1869466322783,UPI
201,875.8692112645845,Cash
337,4884.233461573673,
322,5108.314355082565,Cash
275,11582.187342411637,Card
211,2090.679751125675,Cash
391,1820.6711030492297,Card
118,4200.882980070048,Cash
191,,Card
42,2375.0300013624924,UPI
42,,Cash
315,,Card
276,,Cash
329,5757.785929858569,
17,5817.028104811094,UPI
283,313.5415056442845,Card
431,285.3095167634405,
258,,Cash
